Time in Minutes,Load in kN,O-Stud2-Axial,Stud2-Axial,O-Stud3-Axial,O-Stud3-Axial,Stud3-Axial,O-Stud4-Axial,O-Stud4-Axial,Stud4-Axial,O-Stud5-Axial,Stud5-Axial,O-Stud3-Bottom,Stud3-Bottom,O-Stud4-Bottom,Stud4-Bottom,O-Stud4-Mid,Stud4-Mid,O-Stud3-Mid,Stud3-Mid,Pb1-Mid-Right,Pb1-Pb2-Mid-Right,Pb2-Mid-Right,Pb3-Mid-Right,Pb3-Pb4-Mid-Right,Pb4-Mid-Right,Pb1-Mid-Top,Pb1-Pb2-Mid-Top,Pb2-Mid-Top,Pb3-Mid-Top,Pb3-Pb4-Mid-Top,Pb4-Mid-Top,Pb1-Mid-Mid,Pb1-Pb2-Mid-Mid,Pb2-Mid-Mid,Pb3-Mid-Mid,Pb3-Pb4-Mid-Mid,Pb4-Mid-Mid,Pb1-Mid-Bottom,Pb1-Pb2-Mid-Bottom,Pb2-Mid-Bottom,Pb3-Mid-Bottom,Pb3-Pb4-Mid-Bottom,Pb4-Mid-Bottom,Pb1-Mid-Left,Pb1-Pb2-Mid-Left,Pb2-Mid-Left,Pb3-Mid-Left,Pb3-Pb4-Mid-Left,Pb4-Mid-Left,Stud5-Top-HF,Stud5-Top-CF,Stud5-Mid-HF,Stud5-Mid-CF,Stud5-Bottom-HF,Stud5-Bottom-CF,Stud4-Top-HF,Stud4-Top-CF,Stud4-Mid-HF,Stud4-Mid-CF,Stud4-Bottom-HF,Stud4-Bottom-CF,Stud3-Top-HF,Stud3-Top-CF,Stud3-Mid-HF,Stud3-Mid-CF,Stud3-Bottom-HF,Stud3-Bottom-CF,Stud2-Mid-HF,Stud2-Mid-CF,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
72.39,15.13,-5.3,3.19,-5.21,3.08,-3.08,-3.75,3.7,-3.7,-3.07,4.03,-2.28,-2.28,-3.04,-3.04,-7.38,-7.38,-7.1,-7.1,932.57,521.47,143.24,104.8,22.95,53.22,137.02,24.74,240.38,139.12,20.58,56.3,927.45,529.75,138.07,128.78,20.96,57.45,22.17,536.56,138.96,131.19,20.52,53.54,962.55,525.01,124.76,100.43,72.77,,209.918671,97.607857,156.873764,96.734917,134.272171,86.300117,132.63,93.66,22.13,19.98,123.97,85.44,21.02,91.13,148.86,92.18,147.34,93.41,,,945,528.2,157.08,120.86,72.77,55.13
73.41,15.55,-5.28,3.21,-5.21,3.08,-3.08,-3.71,3.74,-3.74,-3.07,4.03,-2.38,-2.38,-3.19,-3.19,-7.68,-7.68,-7.25,-7.25,925.69,529.74,151.64,106.37,23.08,53.64,142,24.8,243.83,144.82,20.58,56.32,931.22,537.58,142.1,128.81,20.95,57.44,22.17,547.03,143.74,129.87,20.52,54.11,965.02,531.01,127.98,101.22,72.81,,215.035568,99.1035,161.24205,97.734291,137.921677,86.777641,137.53,95.32,22.3,19.95,125.84,86.23,21.03,92.27,153.94,93.09,152.55,94.34,,,948.12,536.34,161.86,122.22,72.81,55.38
74.43,14.93,-5.26,3.23,-5.07,3.22,-3.22,-3.6,3.85,-3.85,-2.95,4.15,-2.51,-2.51,-3.42,-3.42,-8.02,-8.02,-7.54,-7.54,928.55,537.22,160.64,109.13,23.05,53.54,153.1,24.76,249.44,150.56,20.58,56.32,933.93,546.15,151.15,127.11,20.95,57.56,22.17,556.46,151.06,128.52,20.54,54.85,967.07,537.48,132.41,102.79,72.87,,220.232681,100.707191,166.581757,98.871193,141.898605,87.121201,144.13,97.35,22.41,19.98,127.96,87.13,21.04,93.31,159.39,94.18,156.97,95.09,,,950.5,544.33,168.94,123.62,72.87,55.57
75.46,15.68,-5.21,3.28,-5.03,3.26,-3.26,-3.57,3.88,-3.88,-2.9,4.2,-2.66,-2.66,-3.57,-3.57,-8.37,-8.37,-7.78,-7.78,926.67,544.36,167.69,111.56,23.04,53.55,161.51,24.76,253.18,154.58,20.6,56.15,934.48,553.61,159.69,126.55,20.98,57.61,22.2,565.77,160.76,126.9,20.54,55.3,969.06,544.14,136.74,104.83,72.91,,224.752289,102.697479,171.89563,100.298103,146.047867,87.646797,153,99.82,22.58,20.01,130.71,88.11,21.11,96.11,166.01,95.65,162.07,96.25,,,951.77,551.97,175.61,124.88,72.91,55.65
76.48,15.86,-5.12,3.37,-4.92,3.37,-3.37,-3.45,4,-4,-2.82,4.28,-2.87,-2.87,-3.83,-3.83,-8.75,-8.75,-8.03,-8.03,927.54,551.99,178.03,115.97,23.03,53.43,172.33,24.86,256.55,155.08,20.59,56.3,940.33,560.62,166.17,128.23,20.99,57.51,22.22,573.38,168.16,128.61,20.55,54.39,971.95,551.76,141.04,106.86,72.94,,228.66684,105.051422,177.694992,102.05307,150.57547,88.182343,161.53,102.96,22.83,20.03,135.14,89.3,21.14,97.92,174.02,97.43,169.08,97.54,,,956.14,559.44,181.99,126.95,72.94,55.41
77.5,14.3,-4.69,3.8,-4.47,3.82,-3.82,-3.12,4.33,-4.33,-2.43,4.67,-3.01,-3.01,-4.11,-4.11,-9.16,-9.16,-8.23,-8.23,930.15,560.46,195.62,120.83,23.1,53.68,191.97,24.8,260.63,158.99,20.6,56.14,939.61,567.82,178.58,132.5,20.98,57.33,22.22,581.63,177.75,128.34,20.56,55.15,972.39,558.99,151.94,110.71,72.94,,231.647415,107.777908,183.656311,104.157303,154.90332,88.765274,171.78,106.88,23.05,20.01,142.05,90.72,21.15,100.79,181.48,99.81,177.39,98.99,,,956,567.23,192.91,130.27,72.94,55.58
78.53,14.99,-4.71,3.78,-4.47,3.82,-3.82,-3.05,4.4,-4.4,-2.44,4.66,-3.19,-3.19,-4.37,-4.37,-9.51,-9.51,-8.58,-8.58,932.87,569.2,208.94,126.08,23.09,53.24,204.77,24.9,264.55,163.99,20.6,55.7,945.11,575.35,193.39,137.97,20.97,57.29,22.22,590.26,192,134,20.56,54.1,975.58,564.97,161.48,114.6,72.92,,235.364792,111.314789,190.212601,106.80114,159.861343,89.541634,185.52,111.54,23.23,20.02,152.53,92.38,21.18,105.45,190.46,102.92,180.82,101.28,,,960.34,574.95,204.07,135.33,72.92,55.08
79.55,14.8,-4.35,4.14,-4.09,4.2,-4.2,-2.71,4.74,-4.74,-2.13,4.97,-3.43,-3.43,-4.67,-4.67,-9.91,-9.91,-8.88,-8.88,926.85,578.07,219.91,131.85,23.06,52.96,216.72,24.94,269.91,167.15,20.62,55.7,946.39,583,205.38,143.63,21.01,56.83,22.21,598.72,208.03,133.15,20.56,54.43,977.3,571.14,167.98,119.21,72.82,,239.83075,114.897774,196.760803,109.944664,165.955582,90.52076,196.61,116.71,23.42,20.02,164.54,94.33,21.26,112.25,198.93,106.9,187.56,104.19,,,961.84,582.73,214.24,139,72.82,54.98
80.57,15.27,-4.37,4.12,-4.09,4.2,-4.2,-2.67,4.78,-4.78,-2.14,4.96,-3.62,-3.62,-4.85,-4.85,-10.25,-10.25,-9.2,-9.2,931.19,587.39,229.9,137.9,23.05,52.67,227.22,24.9,275.48,176.39,20.6,55.62,946.77,591.34,216.64,149.15,21.01,56.21,22.24,606.9,217.1,136.9,20.57,55.06,978.46,577.43,183.92,126.01,72.66,,245.348419,120.00576,204.093643,113.906662,172.029709,91.49437,207.28,122.29,23.57,20.02,172.56,96.71,21.28,118.29,207.58,111.46,195.56,107.61,,,962.62,590.76,224.61,145.27,72.66,54.89
81.6,15.12,-4.14,4.35,-3.89,4.4,-4.4,-2.44,5.01,-5.01,-1.95,5.15,-3.81,-3.81,-5.07,-5.07,-10.49,-10.49,-9.46,-9.46,932.65,596.91,239.25,143.97,23.1,51.68,235.68,24.89,281.87,180.35,20.6,55.23,952.55,599.96,225.28,153.61,21.03,55.77,22.28,615.09,230.07,139.1,20.6,54.45,981.08,584.6,201.42,134.63,72.49,,251.952484,128.357101,212.175064,118.468834,178.484985,92.914215,217.32,127.84,23.78,20.05,190.94,99.5,21.34,121.87,216.53,116.99,204.41,111.97,,,966.81,599.14,235.58,150.33,72.49,54.28
82.63,12.76,-3.77,4.72,-3.49,4.8,-4.8,-2.08,5.37,-5.37,-1.6,5.5,-4.05,-4.05,-5.34,-5.34,-10.86,-10.86,-9.8,-9.8,935.36,606.25,248.35,147.22,23.06,51.47,243.9,24.9,288.67,187.41,20.6,55.37,953.74,608.82,234.95,156.67,21.05,55.16,22.26,623.02,240.19,144.74,20.59,54.17,981.68,592.81,214.99,141.11,72.33,,259.258484,135.182343,220.642715,123.521545,185.462677,94.998993,226.94,131.78,23.96,20.08,203.85,102.62,21.38,127.15,225.64,123.07,213.52,117.12,,,967.71,607.73,245.43,155.43,72.33,54.04
83.66,15.1,-3.79,4.7,-3.46,4.83,-4.83,-2.04,5.41,-5.41,-1.58,5.52,-4.2,-4.2,-5.48,-5.48,-10.99,-10.99,-10,-10,937.55,615.44,256.18,149.45,23.1,51.33,251.25,24.96,295.03,192.56,20.61,55.52,955.51,617.58,242.77,160.68,21.06,54.69,22.27,631.63,250.4,149.35,20.6,54.53,984.76,601.92,226.22,148.88,72.26,,266.698029,141.538208,229.020477,128.928741,192.364029,97.617752,236.27,135.64,24.11,20.07,217.34,106,21.44,131.72,234.59,129.47,225.27,122.69,,,970.13,616.64,254.12,160.18,72.26,54.02
84.68,15.28,-3.59,4.9,-3.27,5.02,-5.02,-1.87,5.58,-5.58,-1.42,5.68,-4.42,-4.42,-5.66,-5.66,-11.22,-11.22,-10.2,-10.2,944.04,624.27,263.61,152.01,23.01,50.51,257.82,25.08,302.77,197.75,20.62,55.65,959.5,626.15,249.96,164.3,21.07,54.52,22.29,640.05,259.9,155.14,20.63,54.17,984.63,610.32,236,153.97,72.46,,274.054749,147.591507,236.916595,134.422302,199.427094,100.73513,244.77,140.07,24.26,20.09,225.84,109.57,21.48,136.52,243.32,135.53,235.87,128.6,,,972.07,625.2,262.45,164.63,72.46,53.71
85.7,14.19,-3.21,5.28,-2.84,5.45,-5.45,-1.5,5.95,-5.95,-1.04,6.06,-4.56,-4.56,-5.87,-5.87,-11.47,-11.47,-10.35,-10.35,952.82,632.8,270.43,155.1,22.93,50.2,263.53,25.09,309.47,201.32,20.61,55.91,961.44,634.49,256.54,167.81,21.07,54.53,22.3,649.35,268.91,157.94,20.64,53.75,986.69,619.29,245.44,159.39,73.14,,280.832458,152.790939,244.363586,139.783447,207.051483,104.362,252.67,144.63,24.41,20.12,234.32,113.36,21.49,141.35,251.53,141.14,247.63,134.65,,,974.06,633.98,270.16,168.31,73.14,53.6
86.73,15.11,-3.14,5.35,-2.77,5.52,-5.52,-1.44,6.01,-6.01,-1.01,6.09,-4.72,-4.72,-6.06,-6.06,-11.66,-11.66,-10.51,-10.51,958.17,641.03,276.37,158.24,23.02,50.08,269.76,25.09,317.69,211.24,20.64,56.18,963.78,642.4,263.65,172.39,21.07,54.44,22.31,657.99,277.94,162.63,20.62,53.61,988.82,628.13,252.36,161.59,73.96,,287.093109,157.851593,250.939072,144.790039,214.275803,108.32473,260.58,149.35,24.52,20.08,243.83,117.31,21.52,146.1,258.73,146.28,252.13,140.52,,,976.3,642.39,277.6,173.22,73.96,53.58
87.75,14.03,-2.74,5.75,-2.35,5.94,-5.94,-1.07,6.38,-6.38,-0.64,6.46,-4.88,-4.88,-6.3,-6.3,-11.94,-11.94,-10.66,-10.66,960.58,648.92,284.32,162.69,23.01,50.26,276.81,25.14,325.4,220.85,20.61,56.37,966.99,649.95,269.74,177.28,21.07,54.31,22.31,666.01,283.23,165.91,20.62,53.96,990.29,636.82,260.25,164.71,74.77,,293.280029,161.470566,256.856995,149.179214,221.700684,112.655365,267.98,154.26,24.66,20.11,251.8,121.6,21.52,149.59,266.15,151.35,258.78,146.13,,,978.64,650.43,284.59,178.29,74.77,53.73
88.78,15.07,-2.73,5.76,-2.32,5.97,-5.97,-1.06,6.39,-6.39,-0.62,6.48,-4.96,-4.96,-6.44,-6.44,-12.07,-12.07,-10.8,-10.8,966.34,656.23,290.83,167.97,22.93,50.32,284.68,25.09,331.72,226.33,20.62,56.71,968.42,657.13,276.49,182.42,21.09,54.41,22.33,671.96,293.4,170.14,20.64,54.14,991.52,645.31,267.29,169.8,75.77,,298.750153,165.996262,260.819275,153.13205,228.877502,117.398598,275.46,159.19,24.82,20.15,258.73,125.98,21.54,152.66,278.33,156.73,265.49,151.18,,,979.97,657.66,291.94,183.33,75.77,53.89
89.8,14.58,-2.54,5.95,-2.07,6.22,-6.22,-0.84,6.61,-6.61,-0.39,6.71,-5.06,-5.06,-6.65,-6.65,-12.24,-12.24,-10.84,-10.84,973.11,662.33,297.73,173.42,22.97,50.13,291.23,25.1,338.38,230.65,20.66,56.98,974.72,659.69,284.33,188.83,21.1,54.59,22.32,674.3,303.98,176.38,20.62,54.45,994.17,653.21,275.33,174.45,76.95,,302.859314,168.962646,266.615265,156.996674,235.928543,122.272362,282.16,164.34,24.94,20.13,267.38,130.27,21.59,156.31,288.51,162.02,271.87,155.66,,,984.45,662.38,299.95,188.75,76.95,54.04
90.82,15.8,-2.48,6.01,-1.98,6.31,-6.31,-0.76,6.69,-6.69,-0.34,6.76,-5.19,-5.19,-6.83,-6.83,-12.46,-12.46,-11.03,-11.03,973.57,667.71,305.18,180.78,22.96,50.82,299.77,25.05,345.11,237.57,20.67,57.03,973.67,658.53,292.01,196.84,21.1,54.84,22.34,671.86,312.57,181.3,20.65,54.86,995.07,661.08,281.23,180.14,78.06,,306.46347,172.749069,272.733765,161.136627,242.968597,127.159988,292.06,169.58,25.08,20.13,274.36,134.33,21.62,161.4,292.34,166.87,278.33,160.09,,,984.37,664.79,307.22,195.32,78.06,54.39
91.85,15.37,-2.25,6.24,-1.68,6.61,-6.61,-0.5,6.95,-6.95,-0.09,7.01,-5.28,-5.28,-7,-7,-12.6,-12.6,-11.13,-11.13,1072.56,670,312.95,187.62,22.98,51.03,306.89,25.07,351.27,242.7,20.68,57.25,975.69,658.71,298.8,203.69,21.11,55.03,22.35,671.11,325.21,187.45,20.64,55.13,997.91,668.34,289.55,187.23,79,,311.207764,177.925156,278.608734,165.287872,249.618988,131.852234,298.95,174.85,25.22,20.15,281.42,138.22,21.63,167.36,296.46,171.96,284.72,164.38,,,986.8,667.04,315.56,201.74,79,54.61
92.87,15.81,-2.12,6.37,-1.52,6.77,-6.77,-0.35,7.1,-7.1,0.03,7.13,-5.44,-5.44,-7.17,-7.17,-12.8,-12.8,-11.26,-11.26,1096.22,670.87,319.6,193.34,22.98,50.32,316.4,25.04,358.28,248.85,20.69,57.25,980.26,660.07,308.54,210.98,21.13,55.37,22.39,672.93,338.01,196.99,20.66,55.2,999.33,675.18,298.16,194.97,79.81,,316.486298,181.310364,284.081024,169.81308,256.1091,136.247589,304.46,180.4,25.41,20.18,289.27,142.43,21.68,173.37,302.8,177.45,291.57,169.4,,,989.79,669.76,324.52,209.03,79.81,54.53
93.9,15.01,-1.81,6.68,-1.18,7.11,-7.11,-0.04,7.41,-7.41,0.34,7.44,-5.52,-5.52,-7.33,-7.33,-12.91,-12.91,-11.32,-11.32,1048.48,672.31,328.22,199.28,22.89,50.84,326.39,25.22,366.28,259.49,20.7,57.71,981.26,662.26,316.62,218.95,21.15,55.34,22.39,675.26,347.51,205.79,20.66,55.9,999.97,681.39,307.79,202.67,80.54,,321.768372,187.983353,289.697479,174.368256,262.383575,140.459702,309.43,185.75,25.55,20.16,297.1,146.97,21.73,180.19,308.85,183.6,298.63,175.14,,,990.61,672.8,333.28,217.24,80.54,54.95
94.92,16.03,-1.76,6.73,-1.06,7.23,-7.23,0.05,7.5,-7.5,0.39,7.49,-5.65,-5.65,-7.49,-7.49,-13.09,-13.09,-11.47,-11.47,1053.98,674.16,335.29,206.55,22.94,51.29,332.68,25.22,374.06,267.87,20.72,58.06,981.21,665.04,322.98,227.06,21.14,55.56,22.39,678.91,354.3,213.08,20.68,55.81,1000.66,684.8,316.73,208.86,81.21,,327.51828,191.342758,295.835724,179.515259,268.652405,144.289551,314.84,191.1,25.65,20.18,304.6,152.05,21.76,186.6,315.02,190.49,306.06,181.28,,,990.94,675.73,340.67,224.68,81.21,55.18
95.95,14.83,-1.39,7.1,-0.66,7.63,-7.63,0.41,7.86,-7.86,0.75,7.85,-5.7,-5.7,-7.68,-7.68,-13.27,-13.27,-11.48,-11.48,1058.36,676.38,341.64,213.04,22.92,51.9,339.81,25.27,379.48,270.53,20.68,58.45,983.31,668.06,330.9,234.05,21.13,55.92,22.39,683.34,359.07,216.33,20.67,56.43,1004.44,685.42,328.27,218.32,81.82,,332.983398,195.657486,302.027161,184.502747,275.623138,147.858398,321.7,196.65,25.75,20.16,313.66,156.81,21.74,194.02,321.84,197.86,313.16,187.95,,,993.88,678.3,347.87,230.45,81.82,55.67
96.97,16.01,-1.33,7.16,-0.55,7.74,-7.74,0.5,7.95,-7.95,0.83,7.93,-5.83,-5.83,-7.83,-7.83,-13.37,-13.37,-11.56,-11.56,1019.03,678.9,348.62,221.44,22.82,51.83,345.89,25.29,384.02,278.79,20.7,58.7,984.18,671.06,335.13,241.85,21.11,55.92,22.37,687.53,363.77,220.49,20.68,57.56,1004.52,685.09,341.17,226.27,82.46,,338.580994,199.840332,308.462677,190.107498,281.8302,150.995636,346.76,202.41,25.85,20.17,321.39,161.29,21.73,200.66,331.19,205.2,320.46,194.57,,,994.35,680.64,354.54,237.77,82.46,56
98,16.24,-1.18,7.31,-0.35,7.94,-7.94,0.66,8.11,-8.11,1.01,8.11,-5.98,-5.98,-7.95,-7.95,-13.62,-13.62,-11.87,-11.87,1001.23,681.48,354.31,228.81,22.8,52.44,350.67,25.22,388.58,287.93,20.68,58.91,985.77,674.01,338.55,247.63,21.11,56.14,22.36,691.1,365.5,226.12,20.67,57.9,1007.46,685.95,350.23,233,83.14,,343.988129,204.242065,314.566132,195.747162,287.666168,154.194534,335.22,207.84,25.92,20.16,329.17,165.25,21.75,206.58,338.73,212.22,329.67,200.24,,,996.61,683.13,359.43,244.7,83.14,56.35
99.05,14.86,-0.81,7.68,0.06,8.35,-8.35,1.04,8.49,-8.49,1.4,8.5,-6.01,-6.01,-8.09,-8.09,-13.73,-13.73,-11.92,-11.92,1023.42,684.38,358.96,235.26,22.83,53.3,352.12,25.19,389.61,289.76,20.71,58.89,988.03,677.39,341.26,253.03,21.1,56.48,22.36,695.03,364.48,229.76,20.65,58.36,1008.6,689.88,356.03,239.8,83.78,,349.906982,210.873978,320.584137,200.756836,295.343872,158.655014,341.72,212.96,26.3,20.17,335.48,169.34,21.77,214.36,346.19,218.75,338.32,206.41,,,998.31,686.67,362.07,249.52,83.78,56.76
100.08,15.7,-0.73,7.76,0.08,8.37,-8.37,1.1,8.55,-8.55,1.47,8.57,-6.16,-6.16,-8.21,-8.21,-13.92,-13.92,-12.15,-12.15,1015.41,687.31,362.66,242.09,22.89,52.83,355.46,25.22,391.59,299.8,20.7,58.46,990.08,680.61,342.67,257.15,21.11,56.64,22.34,698.99,362.85,231.52,20.65,57.71,1010.19,692.12,357.76,241.93,84.32,,354.851837,214.731827,326.912384,206.105576,301.909088,163.078888,349.13,217.94,26.35,20.13,341.91,173.76,21.81,219.8,352.7,224.49,345.41,210.87,,,1000.13,689.76,363.51,254.5,84.32,56.41
101.1,16.54,-0.7,7.79,0.15,8.44,-8.44,1.14,8.59,-8.59,1.55,8.65,-6.28,-6.28,-8.32,-8.32,-14.08,-14.08,-12.26,-12.26,1032.7,690.4,363.28,247.47,22.98,53.42,357.55,25.43,393.3,302.72,20.72,58.11,991.8,683.4,342.76,261.48,21.13,56.7,22.34,702.87,361.28,235.48,20.64,57.39,1011.92,694.35,356.66,247.47,84.74,,359.524445,217.959839,333.19931,211.294632,309.230377,167.983948,355.84,222.62,26.44,20.15,347.47,177.91,21.85,225.15,359.94,229.53,351.38,214.83,,,1001.86,692.75,363.45,258.93,84.74,56.4
102.13,14.26,-0.33,8.16,0.62,8.91,-8.91,1.57,9.02,-9.02,1.99,9.09,-6.37,-6.37,-8.47,-8.47,-14.18,-14.18,-12.35,-12.35,1039.81,693.32,360,253.08,22.97,52.86,359.91,25.36,394.62,305.74,20.74,57.41,993.35,685.86,343.62,267.41,21.15,56.98,22.37,706.49,359.77,238.41,20.67,57.49,1013.58,696.69,356.54,252.07,85.04,,364.630371,227.961044,339.074738,215.885178,316.674347,173.040329,359.63,226.9,27.95,20.19,352.08,181.77,21.91,230.94,364.93,233.98,356.73,218.6,,,1003.47,695.59,362.91,263.34,85.04,56.19
103.15,15,-0.29,8.2,0.68,8.97,-8.97,1.63,9.08,-9.08,2.06,9.16,-6.46,-6.46,-8.51,-8.51,-14.28,-14.28,-12.5,-12.5,1022.38,696.38,364.95,258.96,22.92,53.08,363.41,25.34,396.57,305.26,20.71,57.03,995.06,688.43,342.98,272.68,21.12,56.97,22.37,709.87,359.17,241.51,20.67,57.41,1015.24,698.65,357.04,255.71,85.3,,371.647003,230.070038,344.108215,220.797913,324.81424,177.939133,365.42,231.22,28.03,20.18,355.21,185.32,21.88,235.84,370.06,238.34,362.1,222.24,,,1005.15,698.33,364.14,266.82,85.3,56.12
104.18,15.74,-0.23,8.26,0.71,9,-9,1.66,9.11,-9.11,2.15,9.25,-6.58,-6.58,-8.62,-8.62,-14.41,-14.41,-12.61,-12.61,1018.98,699.1,362.61,264.93,22.87,53.68,365.96,25.54,397.4,312.78,20.74,57.05,997.73,690.9,337.72,275.09,21.15,56.87,22.39,712.93,358.71,244.58,20.68,57.97,1016.9,700.26,354.59,679.32,85.57,,379.638763,234.154633,349.712738,225.139969,331.259033,182.676376,370.81,235.57,28.14,20.21,357.89,188.49,21.93,240.57,375.37,242.8,367.43,225.48,,,1007.32,700.8,362.21,274.34,85.57,56.39
105.21,15,-0.06,8.43,0.96,9.25,-9.25,1.86,9.31,-9.31,2.39,9.49,-6.63,-6.63,-8.67,-8.67,-14.49,-14.49,-12.72,-12.72,1023.42,701.48,357.13,271.08,22.8,53.91,367.55,25.6,398.47,312.98,20.71,56.66,997.29,692.89,331.68,279.61,21.17,56.99,22.39,715.83,358.69,248.44,20.68,57.97,1018.56,701.44,354.31,625.93,85.82,,385.509674,239.258911,355.045044,228.524536,336.936462,187.195419,375.66,239.77,28.26,20.24,360.09,191.33,21.93,245.33,380.84,246.99,372.57,228.79,,,1007.93,702.91,360.06,278.03,85.82,56.39
106.23,15.68,-0.01,8.48,1.01,9.3,-9.3,1.9,9.35,-9.35,2.46,9.56,-6.73,-6.73,-8.74,-8.74,-14.59,-14.59,-12.82,-12.82,1012.97,703.59,347.92,275.4,22.87,54.36,369.41,25.74,401.16,318.36,20.72,56.54,998.95,694.98,333.76,288.97,21.14,57.13,22.38,718.58,358.91,252.76,20.66,58.82,1020.22,702.36,353.87,623.12,85.99,,391.186768,242.949295,360.31955,232.277267,343.108795,191.251175,380.82,243.84,28.3,20.22,361.8,194.15,21.92,249.83,386.36,251.25,377.44,231.96,,,1009.59,704.88,359.12,283.87,85.99,56.71
107.26,14.83,0.31,8.8,1.48,9.77,-9.77,2.26,9.71,-9.71,2.89,9.99,-6.79,-6.79,-8.87,-8.87,-14.67,-14.67,-12.91,-12.91,1072.89,705.48,344.72,281.46,22.97,54.3,371.97,25.7,402.29,320.94,20.75,56.33,1000.42,696.2,324.72,292.18,21.15,57.26,22.38,721.26,359.52,253.93,20.66,57.78,1021.88,703.53,354.24,641.06,86.24,,395.675964,247.624985,365.914703,235.072845,348.364075,195.477417,389.89,247.85,28.37,20.21,363.2,196.8,21.99,255.33,392.02,255.29,382.08,235.35,,,1011.15,706.62,357.1,287.13,86.24,56.42
108.29,14.96,0.32,8.81,1.48,9.77,-9.77,2.27,9.72,-9.72,2.88,9.98,-6.83,-6.83,-8.86,-8.86,-14.71,-14.71,-12.93,-12.93,1079.69,707.26,343.31,285.58,23.01,54.96,374.26,25.52,404.51,322.16,20.73,56.6,1003.22,698.08,328.56,295.97,21.18,57.04,22.39,723.72,360.23,257.56,20.66,58.44,1023.54,704.77,354.06,633.31,86.44,,400.433502,251.204147,371.089569,239.017807,352.622772,198.78331,392.95,251.69,28.42,20.2,364.3,199.35,21.98,259.57,397.06,259.7,386.47,238.26,,,1013.38,708.45,358.14,290.32,86.44,56.76
109.31,15.37,0.35,8.84,1.49,9.78,-9.78,2.3,9.75,-9.75,2.92,10.02,-6.9,-6.9,-8.87,-8.87,-14.78,-14.78,-13.02,-13.02,1027.18,708.85,338.84,288.87,23.08,54.32,377.37,25.49,406.86,331.15,20.75,56.74,1000.92,699.93,320.81,301.99,21.18,57.12,22.41,726.04,361.32,259.87,20.67,57.79,1025.2,706.21,354.93,583.44,86.64,,405.472137,255.107086,376.069275,242.560852,357.041321,201.427643,399.63,255.45,28.49,20.21,365,201.68,22.03,263.67,402,263.78,390.4,241.64,,,1013.06,710.26,356.55,295.47,86.64,56.49
110.34,14.34,0.44,8.93,1.7,9.99,-9.99,2.48,9.93,-9.93,3.1,10.2,-6.95,-6.95,-8.92,-8.92,-14.8,-14.8,-13.06,-13.06,1025.04,710.35,338.66,293.62,23.12,54.6,379.25,25.59,408.55,336.82,20.78,56.75,1000.11,701.62,320.05,306.37,21.17,57.2,22.4,728.22,362.24,263.73,20.69,58.42,1026.86,707.12,356.99,588.55,86.8,,410.570801,258.910858,381.709137,245.973633,361.105255,204.979218,406.49,259.15,28.52,20.22,365.73,203.96,22.07,267.83,406.94,267.81,394.19,244.87,,,1013.49,711.83,357.3,300.13,86.8,56.74
111.37,15,0.45,8.94,1.76,10.05,-10.05,2.53,9.98,-9.98,3.16,10.26,-7.02,-7.02,-8.93,-8.93,-14.8,-14.8,-13.16,-13.16,1006.67,711.71,340.24,296.27,22.99,53.38,381.53,25.41,410.04,335.24,20.71,56.68,1005.28,703.29,322.33,310.13,21.17,56.95,22.36,730.25,363.71,266.85,20.68,58.15,1028.52,707.9,358.89,591.3,87.06,,414.918701,262.474701,386.85611,249.468964,364.737488,207.44043,411.2,262.89,28.55,20.19,366.53,206.35,22.09,272.15,412.05,271.76,397.81,248.07,,,1016.9,713.29,359.04,302.12,87.06,56.29
112.4,15.57,0.47,8.96,1.81,10.1,-10.1,2.57,10.02,-10.02,3.21,10.31,-7.11,-7.11,-8.96,-8.96,-14.86,-14.86,-13.2,-13.2,1005.36,712.99,341.13,298.53,23.13,53.69,386.01,25.39,413.06,344.34,20.77,56.74,1004.04,705.14,322.01,318.73,21.21,57.27,22.4,732.23,364.85,270.31,20.71,58.11,1030.18,708.95,359.85,576.56,87.24,,418.889984,265.877319,391.480988,252.940765,368.417511,209.806915,415.73,266.75,28.45,20.23,367.34,208.79,22.15,276.3,417.03,275.73,401.42,251.41,,,1017.11,714.83,360.18,307.97,87.24,56.45
113.43,15.74,0.67,9.16,2.09,10.38,-10.38,2.81,10.26,-10.26,3.43,10.53,-7.19,-7.19,-8.99,-8.99,-14.81,-14.81,-13.17,-13.17,1000.23,714.14,342.83,301.87,23.08,54.35,388.9,25.33,415.28,345.36,20.8,57.31,1002.76,706.86,324.04,321.41,21.23,57.12,22.41,734.2,366.6,274.51,20.73,58.05,1031.84,710.11,361.4,577.91,87.5,,422.869354,269.146484,396.2341,256.353241,371.96225,212.146271,418.79,270.59,28.52,20.25,368.13,211.18,22.18,281.39,421.88,279.35,404.91,254.76,,,1017.3,716.33,362.03,310.79,87.5,56.71
